Date,Customer.Postcode,Store.Postcode,Retail.Price,Screen.Size (Inches),Battery.Life (Hours),RAM (GB),Processor.Speeds (GHz),Integrated.Wireless,HD.Size (GB),CustomerStoreDistance
1/1/2008 0:01,EC4V 5BH,SE1 2BN,455,15,5,1,2,Yes,80,2405.873022
1/1/2008 0:02,SW4 0JL,SW12 9HD,545,15,6,1,2,No,300,2507.558574
1/1/2008 0:04,EC3V 1LR,E2 0RY,515,15,4,1,2,Yes,300,3194.001409
1/1/2008 0:04,SW1P 3AU,SE1 2BN,395,15,5,1,2,No,40,4155.202281
1/1/2008 0:06,EC4V 4EG,SW1V 4QQ,585,15,6,2,2,No,120,3729.298057
1/1/2008 0:12,W1B 5PX,SW1V 4QQ,555,15,6,1,2,Yes,120,2544.784863
1/1/2008 0:14,SE25 4LX,SE8 3JD,465,15,4,2,2,No,80,9993.157709
1/1/2008 0:17,N7 6AR,E2 0RY,450,15,6,2,1.5,No,40,6105.9566
1/1/2008 0:24,W3 7JT,SW18 1NN,455,15,4,2,2,Yes,120,6484.129086
1/1/2008 0:56,SW8 1RB,SW1V 4QQ,620,15,6,2,1.5,No,300,1702.322237
1/1/2008 1:00,SE26 5HB,CR7 8LE,465,15,5,2,2,Yes,40,4440.688235
1/1/2008 1:03,W1T 1DG,NW5 2QH,665,15,6,2,2,Yes,300,3674.39478
1/1/2008 1:05,TW9 3AH,W4 3PH,440,15,6,1,1.5,No,80,694.3486156
1/1/2008 1:07,N1 9DU,SW1V 4QQ,565,15,6,2,2,No,80,4872.459133
1/1/2008 1:15,N1 8LU,E2 0RY,405,15,4,1,2,Yes,120,3813.928421
1/1/2008 1:18,E14 0BB,SE8 3JD,480,15,4,2,1.5,Yes,120,3021.243453
1/1/2008 1:29,WC1X 0AE,SW1P 3AU,505,15,6,1,2,Yes,120,2801.779791
1/1/2008 1:30,N1 9BL,SE1 2BN,425,15,6,1,2,No,40,4931.869625
1/1/2008 1:32,WC2E 8RF,SE1 2BN,545,15,6,1,2,No,300,3903.211626
1/1/2008 1:32,SE1 3XB,SW1P 3AU,490,15,6,1,1.5,No,80,3354.730392
1/1/2008 1:40,EC3N 2AE,SE1 2BN,480,15,5,2,1.5,No,120,1381.413769
1/1/2008 1:42,E6 3BD,E2 0RY,535,15,5,2,2,Yes,300,6296.028669
